region,estimate,se,df,t.stat,p.value,lower.ci,upper.ci,yr
West Africa,0.830618451,0.103004448,117,8.063908555,7.16E-13,0.661191211,1,2009
West Africa,0.184682924,0.104355082,117,1.769754961,0.079373026,0.013034089,0.35633176,2010
West Africa,0.69233078,0.113481981,117,6.100799211,1.40E-08,0.505669532,0.878992028,2011
West Africa,0.877464937,0.102326557,117,8.57514377,4.77E-14,0.709152729,1,2012
West Africa,0.666084563,0.108472411,117,6.140589612,1.16E-08,0.487663324,0.844505802,2013
West Africa,0.903135681,0.089204908,117,10.12428244,1.10E-17,0.756406665,1,2014
West Africa,0.917077767,0.077434874,117,11.84321378,9.50E-22,0.789708734,1,2015
West Africa,0.932758287,0.09323417,117,10.00446823,2.12E-17,0.779401725,1,2016
West Africa,0.769762976,0.115693203,117,6.653484865,9.67E-10,0.579464591,0.960061361,2017
West Africa,0.464682081,0.104104586,117,4.463608152,1.87E-05,0.293445274,0.635918887,2018
West Africa,0.334303262,0.122408595,117,2.731044031,0.007291036,0.132959041,0.535647482,2019
