"year.index","mean","sd","X2.5.","X97.5.","Rhat","n.eff","year","Source","Region","se"
7,0.312378187492538,0.0548456260404098,0.206482941469251,0.419102132210064,1.00141852463922,2700,2009,"MM.p.uw","Asia",NA
8,0.376558810705225,0.0578736546044684,0.261976319854192,0.488433886637235,1.00067008560201,4500,2010,"MM.p.uw","Asia",NA
9,0.235991150779415,0.0489082056656164,0.145982873557951,0.335719492442189,1.00121418091051,3700,2011,"MM.p.uw","Asia",NA
10,0.273434355439477,0.0540711888406908,0.172498566848569,0.382920191215266,1.00242350780771,1100,2012,"MM.p.uw","Asia",NA
11,0.278224840407757,0.0502500395001288,0.18707537205106,0.383562345682889,1.00372540458084,660,2013,"MM.p.uw","Asia",NA
12,0.314750687993143,0.0635788443128597,0.196019702169162,0.444503715341532,1.0009399583905,4500,2014,"MM.p.uw","Asia",NA
13,0.405039901816012,0.0632796310082871,0.282564154139955,0.531998752280982,1.0008359196473,4500,2015,"MM.p.uw","Asia",NA
14,0.279099870023377,0.0524576005459346,0.180647543692077,0.385710519195913,1.00206972259259,1400,2016,"MM.p.uw","Asia",NA
15,0.359726277029193,0.0580093711931633,0.244604779176892,0.477448277272254,1.00158774315503,2200,2017,"MM.p.uw","Asia",NA
16,0.244976069681662,0.111245426899225,0.0655406517896586,0.489897643630885,1.00102555729348,4500,2018,"MM.p.uw","Asia",NA
17,0.224136501980307,0.112904324979908,0.051812102447064,0.490544311288774,1.00073246929336,4500,2019,"MM.p.uw","Asia",NA
1,0.103003508755078,0.0694219610272738,0.0172682205411907,0.286198306962684,1.00088978207319,4500,2003,"MM.p.w","Asia",NA
2,0.0968663705760257,0.0552235097898737,0.0250946672349953,0.234935106260187,1.00090177954147,4500,2004,"MM.p.w","Asia",NA
3,0.182731905368345,0.0576217460736809,0.0854375352316519,0.308701717793405,1.00115360506315,4100,2005,"MM.p.w","Asia",NA
4,0.189773088799134,0.0560993759691549,0.0967635386097224,0.313043997031905,1.00163680781332,2100,2006,"MM.p.w","Asia",NA
5,0.159328564727862,0.0317780107157287,0.104968936365452,0.22910724313931,1.00672359516666,330,2007,"MM.p.w","Asia",NA
