"MIKEsiteID","year.index","mean","sd","X2.5.","X97.5.","Rhat","n.eff","year","Source"
"AKG",1,0.424064577285512,0.0818902618465961,0.268673549037743,0.585765148018548,1.00139698588397,2700,2003,"Drop"
"AKG",2,0.433249020905217,0.0803433066134004,0.278352430557625,0.588778464791676,1.00112381010797,4400,2004,"Drop"
"AKG",3,0.381559492984442,0.0811929652256179,0.230574470055122,0.551308174615055,1.00100252988464,4500,2005,"Drop"
"AKG",4,0.425847104327041,0.0886451404078765,0.256649427732581,0.604492342301589,1.00093797049664,4500,2006,"Drop"
"AKG",5,0.452145571647031,0.0872658321807967,0.285163687497458,0.624766176291162,1.00151841387231,2300,2007,"Drop"
"AKG",6,0.594104351088092,0.0822807366416061,0.425420903670053,0.745787705328102,1.00069653650272,4500,2008,"Drop"
"AKG",7,0.571110069453379,0.0802410302601595,0.411953814079108,0.723631848939422,1.00085221071385,4500,2009,"Drop"
"AKG",8,0.551329086202395,0.0785762937165336,0.394413844185568,0.701406269390042,1.00163336587808,2100,2010,"Drop"
"AKG",9,0.780220119944779,0.0557328547224909,0.658644212249486,0.873916036701111,1.00152020636548,2300,2011,"Drop"
"AKG",10,0.753788944063485,0.0592664183051538,0.628100813480944,0.854120870393726,1.00077275809327,4500,2012,"Drop"
"AKG",11,0.672265557930926,0.0690821998820245,0.529729845518936,0.799373365694062,1.00160655227315,2100,2013,"Drop"
"AKG",12,0.757448811184224,0.0602003799924963,0.624171567094695,0.858549882008049,1.00169537430951,1900,2014,"Drop"
"AKG",13,0.714207638027441,0.0656482339672804,0.573754323078977,0.82521588486382,1.00147118985759,2500,2015,"Drop"
"AKG",14,0.699970938705176,0.069636528658925,0.553391449439776,0.820528478868126,1.0010152351686,4500,2016,"Drop"
"AKG",15,0.634646616927219,0.0750628840211432,0.480693639556981,0.770798646585507,1.00099276954608,4500,2017,"Drop"
"AKG",16,0.578085307810588,0.0763082908450789,0.42394588460209,0.718902683163928,1.0011275282025,4300,2018,"Drop"
"AKG",17,0.366771805081604,0.0733242809253166,0.231421622940157,0.518436935977315,1.00360988042621,680,2019,"Drop"
"BBK",1,0.410162923873888,0.0856156797679191,0.251626622881042,0.579453688468228,1.00234381816712,1200,2003,"Drop"
"BBK",2,0.414566376642948,0.0832505823883586,0.259165188659112,0.583332169196762,1.00293239885013,880,2004,"Drop"
"BBK",3,0.371791042901254,0.0811997311248132,0.221685836430267,0.538879378485158,1.00241523523258,1100,2005,"Drop"
"BBK",4,0.436094348804769,0.0923095879544328,0.264828605369601,0.620266505090382,1.00222480164952,1300,2006,"Drop"
"BBK",5,0.447266051762468,0.0911957582540407,0.274874979222196,0.623828700434808,1.00425248458384,560,2007,"Drop"
"BBK",6,0.590407163175432,0.0842204319331932,0.416711545369115,0.743668978865992,1.00134879846433,2900,2008,"Drop"
"BBK",7,0.562273325627264,0.0831450393519828,0.39697225680474,0.718308782017058,1.00222390269103,1300,2009,"Drop"
"BBK",8,0.535174390426796,0.084035177007978,0.370990252885754,0.695837214331572,1.00222811174,1300,2010,"Drop"
