"MIKEsiteID","year.index","mean","sd","X2.5.","X97.5.","Rhat","n.eff","year","Source"
"AKG",1,0.444009293647787,0.0354854865717804,0.376042278561941,0.514307495780672,1.00174982225439,1800,2003,"Drop"
"AKG",2,0.466911827575197,0.0318776780479302,0.405756066579727,0.529475666798294,1.00131648960966,3100,2004,"Drop"
"AKG",3,0.427212217590728,0.0351770416422551,0.359319028063699,0.496124204612624,1.00123281396951,3500,2005,"Drop"
"AKG",4,0.459731402205889,0.040356614671465,0.378982507516309,0.537457884521058,1.000787603774,4500,2006,"Drop"
"AKG",5,0.463755277329906,0.0372143612774314,0.391586888035966,0.538150561524962,1.00233117921588,1200,2007,"Drop"
"AKG",6,0.562886319861367,0.0321533154114236,0.500110442734248,0.624619344357207,1.00088958689334,4500,2008,"Drop"
"AKG",7,0.547276216406312,0.0301037475320016,0.487596527912183,0.606655615255578,1.00083881419551,4500,2009,"Drop"
"AKG",8,0.538881390343032,0.0295137725887038,0.480224649585544,0.596709770127819,1.00083912132308,4500,2010,"Drop"
"AKG",9,0.703402493407859,0.0240723949530986,0.654102076065683,0.749853161276622,1.00360248265691,680,2011,"Drop"
"AKG",10,0.671737714095142,0.0233382153347449,0.625285950109588,0.715928054777885,1.00132021527872,3100,2012,"Drop"
"AKG",11,0.6252760456559,0.0253394186446371,0.575055010795465,0.674117487116524,1.00166200256989,2000,2013,"Drop"
"AKG",12,0.663660852964943,0.0251106816369168,0.612879067983782,0.711969888275833,1.00084865832077,4500,2014,"Drop"
"AKG",13,0.640613739184404,0.0259805604073475,0.588611720387703,0.689109373092621,1.00119023725227,3800,2015,"Drop"
"AKG",14,0.628645802535744,0.0264174079232229,0.575419375280176,0.67817433955992,1.00066714130885,4500,2016,"Drop"
"AKG",15,0.582864061142102,0.0279684197359523,0.527394910013011,0.636140665083912,1.00105398050385,4500,2017,"Drop"
"AKG",16,0.55223367626932,0.0239851301987708,0.505512872696497,0.599101459722723,1.00076501090282,4500,2018,"Drop"
"AKG",17,0.420586009651608,0.027552897536147,0.367710546505237,0.475529700617786,1.00273327219321,970,2019,"Drop"
"BBK",1,0.437139200523928,0.0358181673264444,0.366506812671989,0.506722081580337,1.00216250304303,1300,2003,"Drop"
"BBK",2,0.457935926189753,0.0316695659241347,0.395468491598712,0.518681623335599,1.00078625561784,4500,2004,"Drop"
"BBK",3,0.423873696325771,0.0343653108630859,0.35616651829591,0.491075578830179,1.00081751214016,4500,2005,"Drop"
"BBK",4,0.470366505201445,0.0412036333498601,0.389414602719277,0.548559714372769,1.00084722330632,4500,2006,"Drop"
"BBK",5,0.463133896749122,0.0373011721297109,0.389911952421385,0.534476373607634,1.00124637046305,3400,2007,"Drop"
"BBK",6,0.561744947771198,0.0320589181593535,0.498820758565295,0.62420305501463,1.00113693145345,4200,2008,"Drop"
"BBK",7,0.544054786589956,0.0306603095161748,0.484248248751195,0.603599128901626,1.00291813890875,890,2009,"Drop"
"BBK",8,0.529078068028718,0.0297816825287652,0.471503115791612,0.587609402594835,1.00160836501388,2100,2010,"Drop"
"BBK",9,0.693693882154072,0.0244226176778956,0.644397570628581,0.740807055676845,1.00103176901274,4500,2011,"Drop"
"BBK",10,0.657106908237485,0.0237101262419908,0.608877029641471,0.70086905835662,1.00213671543426,1400,2012,"Drop"
"BBK",11,0.6089963533971,0.0256720767548545,0.558412379753783,0.657486513854403,1.00172655920736,1900,2013,"Drop"
"BBK",12,0.653536261632457,0.0255476205415247,0.602391933431117,0.702306866197838,1.00143890395428,2600,2014,"Drop"
"BBK",13,0.6324697413234,0.0256143173836504,0.581710882078125,0.681327614810537,1.00070771898269,4500,2015,"Drop"
"BBK",14,0.617717990487619,0.0263611943823304,0.564445909868797,0.667765933742463,1.00168489339199,2000,2016,"Drop"
"BBK",15,0.584006179314113,0.0273105582589342,0.531315324343067,0.636323581984179,1.0039804315728,610,2017,"Drop"
"BBK",16,0.539916744689763,0.023479452625001,0.49279307181232,0.585231885005732,1.00117599590127,3900,2018,"Drop"
"BBK",17,0.415800347346652,0.0275218986729595,0.362301547928948,0.469915176423225,1.00283842991728,920,2019,"Drop"
"BBL",1,0.434761056951944,0.0356549117996046,0.366627172329642,0.504161661013651,1.0025858050461,1000,2003,"Drop"
"BBL",2,0.457913233168275,0.0313044357203457,0.398505680432991,0.520870959007208,1.00097563579341,4500,2004,"Drop"
"BBL",3,0.419297288197575,0.034371198161434,0.351459479273505,0.487144340378536,1.00286966956749,910,2005,"Drop"
"BBL",4,0.448744605087836,0.0401327797026979,0.370214626275339,0.528911598462101,1.00253784104245,1100,2006,"Drop"
"BBL",5,0.453635460371435,0.0373353047650009,0.380783245897057,0.528028778918306,1.00274603994408,960,2007,"Drop"
"BBL",6,0.550982453906815,0.0311061205026083,0.489226471837849,0.610905542463069,1.00211585508845,1400,2008,"Drop"
"BBL",7,0.538120927349301,0.0294058732966897,0.479852562301682,0.596793446899112,1.00239386211536,1200,2009,"Drop"
"BBL",8,0.527350647155622,0.0295493529164059,0.469867987900326,0.585425400724422,1.00071093666704,4500,2010,"Drop"
"BBL",9,0.69175704013736,0.0243475837834456,0.643453907097567,0.737201115896143,1.00334961954252,750,2011,"Drop"
"BBL",10,0.661331960269777,0.0239769059312989,0.61222622836792,0.707271948031079,1.00117521778747,3900,2012,"Drop"
"BBL",11,0.612387478270204,0.0256979053862711,0.56196554715137,0.660930333496259,1.0007459075875,4500,2013,"Drop"
"BBL",12,0.650333189536674,0.0258032313250761,0.597126759979508,0.697978281533239,1.00200853353986,1500,2014,"Drop"
"BBL",13,0.626732908099953,0.0264177823669484,0.575236747717943,0.678317810923775,1.00218013602012,1300,2015,"Drop"
"BBL",14,0.617721038529092,0.0269865946292294,0.565305055558621,0.669534441941466,1.00079842215631,4500,2016,"Drop"
"BBL",15,0.57532051699474,0.0277841146802467,0.518953507924445,0.629951472498102,1.00259034051524,1000,2017,"Drop"
"BBL",16,0.536340114781335,0.0243909150519524,0.488324947116267,0.582898065775406,1.00186316020673,1700,2018,"Drop"
"BBL",17,0.404991493113751,0.0278631905439618,0.350106532955369,0.457958890155064,1.00220274325442,1300,2019,"Drop"
"BGS",1,0.427658976442434,0.0359684942913159,0.356527562915517,0.498815218677523,1.00279536868475,940,2003,"Drop"
"BGS",2,0.448606930901129,0.0323783425230094,0.384079242385843,0.510373420888098,1.00304941999336,840,2004,"Drop"
"BGS",3,0.416084600054703,0.0354312235873205,0.346817628470759,0.486276583594453,1.00131043211971,3100,2005,"Drop"
"BGS",4,0.44544333335722,0.0391637684957752,0.367118057056158,0.521963334476529,1.00193200330026,1600,2006,"Drop"
"BGS",5,0.4507395088767,0.037864130811134,0.377822520016639,0.526671833457124,1.00088391158361,4500,2007,"Drop"
"BGS",6,0.548736742874928,0.0320135998208318,0.484384118403776,0.611282567366491,1.00100815307018,4500,2008,"Drop"
"BGS",7,0.539436996880629,0.030459211700205,0.481574331107387,0.598816580259899,1.00129887710153,3200,2009,"Drop"
"BGS",8,0.522396075891313,0.030387865114465,0.461901230553302,0.580176300122039,1.00229470419181,1200,2010,"Drop"
"BGS",9,0.692832649854744,0.0241431267133035,0.643696809397574,0.739054319640154,1.00082921247193,4500,2011,"Drop"
"BGS",10,0.655180290074278,0.0239925090258685,0.607344668441809,0.700356685460851,1.000743002226,4500,2012,"Drop"
"BGS",11,0.609848064773493,0.0257457220820559,0.557655677793992,0.659623991139005,1.00255150045589,1100,2013,"Drop"
"BGS",12,0.648388581713245,0.0261595869093831,0.595946341721855,0.697890828263091,1.00245115562615,1100,2014,"Drop"
"BGS",13,0.626529520757735,0.0267662147504224,0.574794720723675,0.677406838369705,1.00082279308344,4500,2015,"Drop"
"BGS",14,0.614513713114643,0.0269025073506666,0.55871643147541,0.665096878680561,1.00216422812307,1300,2016,"Drop"
"BGS",15,0.569066689189126,0.0280275018510404,0.514319234888993,0.622834259800982,1.00180877667177,1800,2017,"Drop"
"BGS",16,0.536597400796889,0.0240537010942105,0.489864856360735,0.583226925878903,1.00200285176087,1500,2018,"Drop"
"BGS",17,0.406394634803729,0.0276090706331782,0.352520104979659,0.46080169358733,1.00174940112582,1800,2019,"Drop"
"CHE",1,0.436653266209178,0.0360709424958613,0.367326508092565,0.505452392520141,1.00138628617941,2800,2003,"Drop"
"CHE",2,0.462663453602923,0.03210665530368,0.401099365446203,0.525212147783516,1.00145367115803,2500,2004,"Drop"
"CHE",3,0.426090525480652,0.036279632883212,0.355354480149344,0.498408560382513,1.00171254260485,1900,2005,"Drop"
"CHE",4,0.455163106980384,0.0406424515530543,0.375293754299658,0.532766919662643,1.00085852681762,4500,2006,"Drop"
"CHE",5,0.452515976607599,0.0386023671828956,0.378400539576169,0.529156402184916,1.00192276036689,1600,2007,"Drop"
"CHE",6,0.565170045117001,0.032591225569974,0.502179645968016,0.629356541862535,1.00106636743351,4500,2008,"Drop"
